caseid,sex,birthregion,mom_ed,friends1,sma,sra,gpa1,income3,jobscore3,jobsat3
577,Female,outside US,less.than.hs,3,91,53,2.5,2000,55,4
579,Female,outside US,less.than.hs,3,63,25,3.9,750,42,4
589,Female,outside US,College graduate or more,1,74,47,2.33,1300,34,4
593,Male,outside US,less.than.hs,14,21,3,1.9,2000,21,4
595,Female,outside US,less.than.hs,35,9,25,3.3,1400,44,3
599,Female,outside US,less.than.hs,30,91,70,2.83,600,38,4
602,Male,outside US,High school graduate,44,13,28,1.3,1600,33,2
604,Male,outside US,High school graduate,6,21,23,1.5,2500,38,1
606,Female,outside US,Some college/university,3,65,99,3.7,1500,42,3
607,Female,outside US,less.than.hs,40,99,64,3,2320,53,4
611,Female,outside US,Some college/university,40,75,70,3.5,700,55,4
612,Female,outside US,High school graduate,22,99,73,3.29,1758,48,4
617,Female,outside US,Some college/university,13,50,42,1.82,1500,52,4
624,Male,outside US,College graduate or more,3,32,13,3.1,500,34,4
633,Female,outside US,High school graduate,22,23,58,1.57,1400,42,5
649,Female,outside US,less.than.hs,35,45,32,1.83,1700,34,4
653,Male,outside US,College graduate or more,5,45,47,2.33,1500,42,4
657,Female,outside US,College graduate or more,26,65,49,4,400,42,4
660,Male,outside US,High school graduate,18,22,34,2.33,1300,46,5
664,Male,outside US,less.than.hs,13,83,61,3.08,1300,32,3
666,Female,outside US,less.than.hs,2,20,22,2.42,1700,53,4
669,Female,outside US,Some college/university,3,30,37,2.83,1500,37,4
671,Female,outside US,Some college/university,44,85,79,3.33,1300,30,3
674,Female,outside US,College graduate or more,13,97,84,3.5,1200,53,4
676,Male,outside US,College graduate or more,6,62,77,2.57,800,48,3
680,Female,outside US,less.than.hs,48,28,24,3,1400,34,3
684,Male,outside US,less.than.hs,8,62,37,3.6,700,58,4
686,Male,outside US,less.than.hs,8,99,94,3.8,2000,58,4
688,Female,outside US,College graduate or more,3,86,70,2.25,1600,67,3
699,Female,outside US,Some college/university,22,96,46,3.6,1200,42,3
702,Female,outside US,College graduate or more,22,78,35,3.5,1400,53,4
703,Female,outside US,College graduate or more,6,59,56,3.8,1100,42,4
705,Female,outside US,Some college/university,22,46,46,2.5,2700,34,4
719,Female,outside US,less.than.hs,22,40,49,2.58,2000,38,4
723,Female,outside US,Some college/university,40,34,20,3.7,1600,50,5
725,Male,outside US,College graduate or more,22,82,65,3.25,2500,42,3
727,Male,outside US,College graduate or more,14,52,20,3.9,1200,46,3
729,Male,outside US,College graduate or more,36,21,41,2.6,675,62,5
733,Male,outside US,High school graduate,3,51,3,2.9,1200,44,2
741,Female,outside US,High school graduate,3,99,91,3.92,1000,53,4
745,Female,outside US,Some college/university,35,61,71,3,600,31,3
752,Female,outside US,less.than.hs,35,5,3,1.92,600,34,2
754,Male,outside US,High school graduate,3,70,15,3.6,2000,39,4
756,Female,outside US,less.than.hs,14,34,49,1.7,1400,53,5
757,Male,outside US,less.than.hs,44,52,13,2.2,2400,31,4
758,Female,outside US,less.than.hs,22,63,4,2.2,1700,49,4
763,Male,outside US,less.than.hs,8,36,5,2.4,1800,46,4
764,Male,outside US,College graduate or more,35,12,57,1.58,2000,33,3
767,Female,outside US,less.than.hs,44,28,7,2.6,1100,42,4
773,Female,outside US,less.than.hs,35,12,23,2.5,780,42,3
774,Male,outside US,less.than.hs,51,41,4,2.5,550,18,3
776,Male,outside US,less.than.hs,35,36,15,2.18,1500,30,2
782,Male,outside US,less.than.hs,14,63,34,1.3,2000,51,4
785,Female,outside US,less.than.hs,14,12,8,2.5,1200,53,4
792,Male,outside US,less.than.hs,8,16,15,1.5,2600,52,4
793,Male,outside US,College graduate or more,3,12,18,1.7,1800,20,5
804,Male,outside US,less.than.hs,13,15,1,3.3,1500,20,3
808,Male,outside US,Some college/university,3,36,18,1.5,2660,39,3
809,Female,outside US,Some college/university,48,82,34,3.27,2200,34,3
810,Female,outside US,College graduate or more,48,45,49,3.5,1500,48,3
812,Female,outside US,less.than.hs,44,97,87,3.8,500,26,4
813,Male,outside US,High school graduate,51,96,75,3.08,1850,42,3
814,Male,outside US,High school graduate,30,90,58,2.5,2000,26,3
818,Female,outside US,less.than.hs,3,70,84,1.7,1200,50,5
820,Male,outside US,High school graduate,3,52,22,2.67,700,49,3
821,Female,outside US,Some college/university,22,59,84,2.73,130,42,3
822,Female,outside US,Some college/university,3,96,75,2.5,2128,45,4
823,Female,outside US,College graduate or more,14,86,62,3.92,1000,58,2
825,Female,outside US,less.than.hs,8,5,1,1.2,2500,50,5
826,Female,outside US,Some college/university,2,31,31,2,1100,44,3
830,Male,outside US,less.than.hs,46,1,1,0.4,2600,31,1
835,Female,outside US,less.than.hs,3,9,23,2.1,1200,34,5
846,Female,outside US,College graduate or more,3,18,13,2.3,420,49,1
861,Male,outside US,Some college/university,2,19,40,1.83,1700,31,4
864,Female,outside US,Some college/university,18,24,57,2.17,2800,62,5
865,Male,outside US,High school graduate,1,47,29,1.67,800,21,2
866,Female,outside US,Some college/university,3,13,34,1.5,2500,34,5
871,Female,outside US,High school graduate,51,57,60,2.67,550,42,4
877,Male,outside US,College graduate or more,3,50,6,1.7,1760,34,2
879,Male,outside US,Some college/university,35,80,51,1.93,2500,53,4
882,Female,outside US,less.than.hs,3,16,8,2,1300,34,5
888,Female,outside US,less.than.hs,11,31,40,1.67,1000,42,5
892,Female,outside US,less.than.hs,1,42,43,2.36,1800,42,2
895,Female,outside US,High school graduate,8,94,81,2.83,1760,42,3
898,Male,outside US,less.than.hs,14,33,20,1.08,1200,37,4
911,Female,outside US,High school graduate,51,99,76,3.5,1600,34,4
912,Female,outside US,Some college/university,48,77,59,3.67,1400,44,3
917,Female,outside US,less.than.hs,22,64,43,2.93,700,23,3
922,Male,outside US,High school graduate,30,88,41,3.17,2416,62,3
928,Female,outside US,High school graduate,2,54,44,2.42,1000,44,4
929,Female,outside US,less.than.hs,7,64,82,2.75,1830,69,5
931,Female,outside US,less.than.hs,48,82,46,2.5,1200,50,4
933,Male,outside US,College graduate or more,3,68,13,2,2000,42,5
937,Female,outside US,High school graduate,3,1,1,1.6,1000,38,2
939,Male,outside US,Some college/university,30,36,15,3.09,400,34,4
947,Male,outside US,less.than.hs,13,44,70,3,1960,42,4
954,Female,outside US,less.than.hs,40,16,57,1.3,1600,50,3
957,Female,outside US,less.than.hs,3,39,17,1.8,1500,35,4
958,Female,outside US,less.than.hs,22,46,75,3.2,1200,53,2
962,Female,outside US,less.than.hs,40,64,65,2.9,1200,37,4
967,Female,outside US,High school graduate,30,35,12,2.25,1500,42,4
974,Male,outside US,less.than.hs,3,1,1,1.7,2500,44,3
981,Male,outside US,Some college/university,44,8,24,1.17,1350,33,4
982,Male,outside US,less.than.hs,40,54,65,1.5,2000,37,4
986,Female,outside US,Some college/university,35,71,45,1.94,2200,55,5
987,Female,outside US,High school graduate,3,98,60,4,1200,49,4
988,Female,outside US,less.than.hs,22,32,20,1.56,1600,44,4
995,Female,outside US,High school graduate,3,77,67,2.67,1300,38,4
999,Female,outside US,Some college/university,30,61,27,1.58,1600,57,3
1001,Male,outside US,less.than.hs,35,70,13,2.1,2450,20,3
1004,Male,outside US,College graduate or more,48,83,57,3.17,1000,70,5
1007,Female,outside US,less.than.hs,22,20,5,1.08,800,48,4
1011,Female,outside US,College graduate or more,18,20,60,0.08,1500,52,5
1014,Female,outside US,High school graduate,3,74,37,2.17,1800,34,4
1016,Male,outside US,College graduate or more,35,60,60,1.76,2692,53,4
1020,Female,outside US,less.than.hs,30,13,54,0.57,2000,42,3
1021,Female,outside US,High school graduate,35,82,37,2.17,2700,44,4
1023,Male,outside US,College graduate or more,35,99,84,3.75,1250,60,5
1025,Female,outside US,less.than.hs,22,10,31,2.1,2200,42,5
1032,Male,outside US,High school graduate,22,47,24,2.75,1200,32,3
1033,Female,outside US,less.than.hs,3,20,21,1.83,2960,45,5
1035,Female,outside US,College graduate or more,30,77,47,3.17,1500,52,4
1039,Female,outside US,Some college/university,18,18,35,0.75,600,50,5
1040,Female,outside US,High school graduate,22,92,79,2.5,2700,57,3
1043,Female,outside US,High school graduate,35,63,79,3,2200,67,5
1046,Male,outside US,High school graduate,18,43,40,2.08,1800,53,5
1053,Male,outside US,College graduate or more,18,68,34,2.33,2500,53,5
1055,Female,outside US,High school graduate,13,90,87,3.3,2200,38,5
1061,Female,outside US,High school graduate,22,37,46,1.67,1200,49,4
1069,Male,outside US,High school graduate,18,41,51,2.42,1600,39,3
1073,Male,outside US,High school graduate,35,66,20,2.58,1000,51,4
1074,Female,outside US,High school graduate,30,59,31,1.5,1300,45,4
1079,Male,outside US,High school graduate,3,54,51,1.92,1700,33,4
1080,Female,outside US,High school graduate,22,95,56,3.08,1200,27,5
1087,Male,outside US,less.than.hs,18,91,49,3.33,620,42,4
1091,Female,outside US,College graduate or more,44,21,15,2.5,1000,38,4
1098,Male,outside US,College graduate or more,1,41,46,2.1,1800,39,4
1101,Female,outside US,College graduate or more,8,82,41,3.5,1000,50,4
1103,Male,outside US,High school graduate,14,59,54,3,1600,34,3
1107,Female,outside US,College graduate or more,48,32,79,3.9,750,48,2
1121,Female,outside US,Some college/university,40,75,65,1.8,600,57,4
1123,Male,outside US,less.than.hs,44,51,11,2.08,2500,33,4
1134,Female,outside US,Some college/university,22,33,24,2.92,1600,58,4
1150,Male,outside US,Some college/university,35,51,64,1,2500,57,3
1155,Male,outside US,less.than.hs,35,0,0,0,1000,45,3
1160,Male,outside US,less.than.hs,45,74,35,2.5,1200,42,4
1170,Female,outside US,Some college/university,40,94,47,1.92,2400,53,5
1171,Female,outside US,less.than.hs,23,10,11,3,2500,26,5
1172,Male,outside US,College graduate or more,3,55,38,3.64,1800,55,3
1173,Female,outside US,College graduate or more,22,86,85,2.6,325,52,5
1190,Male,outside US,College graduate or more,35,92,29,2.92,1200,38,5
1192,Female,outside US,Some college/university,40,82,94,4,1400,49,4
1193,Female,outside US,Some college/university,22,74,62,2.2,1800,39,5
1194,Male,outside US,High school graduate,48,31,49,2.18,1600,34,5
1197,Female,outside US,High school graduate,13,56,65,2.7,1341,50,5
1199,Female,outside US,Some college/university,44,74,46,3.2,500,50,5
1200,Male,outside US,Some college/university,3,56,46,3.1,365,37,4
1205,Male,outside US,less.than.hs,8,96,71,3.25,2200,53,4
1207,Female,outside US,College graduate or more,3,26,65,2.92,2300,42,4
1214,Female,outside US,College graduate or more,44,54,57,2.58,600,53,5
1215,Male,outside US,College graduate or more,14,84,97,4,2500,68,5
1220,Male,outside US,College graduate or more,18,56,25,3.2,1000,46,4
1222,Female,outside US,College graduate or more,13,59,25,3,500,16,4
1226,Male,outside US,less.than.hs,13,51,57,2.55,850,22,2
1233,Male,outside US,less.than.hs,35,21,23,2,1650,27,4
1234,Male,outside US,less.than.hs,35,2,10,2,800,34,1
1235,Male,outside US,High school graduate,35,6,10,2.8,1200,44,4
1240,Female,outside US,less.than.hs,48,5,8,2.4,1400,39,5
1242,Male,outside US,less.than.hs,13,3,6,2.6,1300,29,3
1247,Female,outside US,less.than.hs,13,27,65,2.7,650,42,3
1249,Female,outside US,less.than.hs,18,46,20,1.2,2100,45,5
1250,Male,outside US,less.than.hs,35,82,66,3.5,700,50,5
1256,Male,outside US,less.than.hs,22,68,45,2.6,900,39,4
1257,Male,outside US,less.than.hs,35,9,6,1.18,1250,34,3
1268,Male,outside US,less.than.hs,3,2,15,1.3,1000,33,2
1269,Female,outside US,less.than.hs,14,2,1,1.25,1800,38,4
1270,Female,outside US,less.than.hs,2,26,25,3.1,1800,44,5
1271,Male,outside US,less.than.hs,14,98,46,3,1000,34,4
1274,Female,outside US,High school graduate,2,9,20,2.5,2800,39,3
1278,Male,outside US,High school graduate,40,54,45,2,1500,30,2
1279,Female,outside US,Some college/university,3,73,79,2.3,1100,38,4
1284,Female,outside US,less.than.hs,3,36,20,2.3,2100,34,4
1286,Male,outside US,High school graduate,3,99,45,3.4,150,29,5
1289,Male,outside US,less.than.hs,44,36,35,3,1200,57,3
1290,Male,outside US,less.than.hs,36,75,4,0.6,1800,42,4
1294,Female,outside US,High school graduate,30,88,61,2.86,2380,34,1
1296,Male,outside US,High school graduate,40,12,31,2.2,1700,28,2
1305,Female,outside US,Some college/university,35,68,97,3.33,900,23,3
1306,Male,outside US,College graduate or more,30,83,22,1.5,1100,16,3
1310,Male,outside US,High school graduate,2,68,11,1.42,900,29,4
1311,Male,outside US,College graduate or more,18,25,46,1.75,850,34,2
1312,Male,outside US,less.than.hs,22,18,54,0.67,1700,42,3
1313,Male,outside US,Some college/university,2,35,32,2.5,2100,51,2
1318,Male,outside US,Some college/university,35,87,84,1.75,1400,56,5
1327,Male,outside US,College graduate or more,3,20,57,2.2,1800,46,5
1342,Male,outside US,Some college/university,44,57,76,3.75,2000,46,3
1344,Male,outside US,Some college/university,35,45,70,2.43,2000,33,4
1346,Male,outside US,College graduate or more,22,99,81,3.83,2300,42,4
1348,Female,outside US,High school graduate,48,77,64,3.5,200,66,1
1349,Male,outside US,Some college/university,22,97,67,2.36,800,55,3
1351,Male,outside US,High school graduate,23,69,67,2.17,1500,58,5
1353,Male,outside US,less.than.hs,22,92,41,2.7,1100,34,4
1365,Female,outside US,College graduate or more,40,97,71,3.17,1000,56,4
1371,Female,outside US,College graduate or more,4,91,68,3.17,1500,53,4
1372,Male,outside US,Some college/university,6,71,64,2.31,2000,56,5
1373,Female,outside US,College graduate or more,40,88,63,3.17,1700,57,4
1377,Male,outside US,College graduate or more,3,95,88,4.5,1600,49,3
1383,Female,outside US,Some college/university,40,85,22,2.83,800,48,4
1389,Female,outside US,Some college/university,35,83,46,2.17,2000,60,5
1397,Male,outside US,less.than.hs,2,74,61,2.75,2200,42,4
1398,Male,outside US,less.than.hs,13,97,43,2.5,1500,48,5
1399,Female,outside US,less.than.hs,48,79,40,2.75,1200,22,5
1401,Female,outside US,High school graduate,40,79,59,3.33,1500,55,1
1402,Male,outside US,College graduate or more,18,65,81,2.33,2200,51,5
1406,Female,outside US,High school graduate,35,59,71,2.67,2200,60,4
1408,Female,outside US,College graduate or more,13,28,5,2.42,550,50,5
1412,Female,outside US,less.than.hs,35,11,3,1.17,800,20,4
1415,Female,outside US,less.than.hs,22,46,25,1.9,1500,31,4
1424,Male,outside US,less.than.hs,22,41,31,2.9,2000,57,4
1426,Female,outside US,High school graduate,22,5,20,2.08,160,49,3
1430,Female,outside US,College graduate or more,3,67,37,2.67,2000,60,4
1434,Female,outside US,less.than.hs,30,91,32,2.67,1400,34,5
1442,Male,outside US,Some college/university,3,97,85,2.83,2500,56,4
1447,Male,outside US,less.than.hs,15,33,11,1.08,1400,39,5
1451,Male,outside US,College graduate or more,48,88,82,2.83,1500,42,4
1455,Male,outside US,High school graduate,13,25,50,2,2300,39,2
1462,Female,outside US,High school graduate,18,60,20,2.33,640,56,5
1467,Male,outside US,Some college/university,22,85,97,3.41,2000,52,5
1470,Female,outside US,College graduate or more,35,97,79,4.17,2500,42,2
1489,Female,outside US,College graduate or more,22,87,70,2.33,750,44,4
1505,Male,outside US,Some college/university,51,74,63,3.33,1280,42,3
1508,Male,outside US,College graduate or more,2,94,32,3.08,2400,50,5
1512,Male,outside US,College graduate or more,8,35,41,2.17,900,39,3
1517,Male,outside US,College graduate or more,40,71,59,1.83,750,51,5
1538,Male,outside US,College graduate or more,13,82,43,3.95,2000,62,5
1541,Male,outside US,Some college/university,3,87,84,1.42,2000,51,4
1542,Female,outside US,High school graduate,13,57,70,2.5,500,39,3
1555,Female,outside US,College graduate or more,35,89,76,3.92,2600,78,4
1565,Male,outside US,less.than.hs,49,59,31,1.75,1300,26,3
1571,Male,outside US,less.than.hs,35,13,32,0.92,1475,39,5
1572,Male,outside US,High school graduate,12,41,49,2,1000,22,5
1577,Male,outside US,Some college/university,18,63,47,2.5,1700,56,4
1582,Male,outside US,less.than.hs,36,66,57,2.08,2350,44,5
1585,Female,outside US,Some college/university,35,55,87,3.6,300,34,2
1586,Female,outside US,College graduate or more,3,61,20,2.6,1300,38,3
1587,Male,outside US,High school graduate,3,78,66,2.92,1710,51,3
1588,Male,outside US,College graduate or more,18,31,18,2.09,1600,26,5
1589,Male,outside US,College graduate or more,30,74,62,3.1,1200,45,5
1590,Female,outside US,College graduate or more,14,93,98,4,2300,49,3
1592,Female,outside US,College graduate or more,35,86,61,3.5,900,48,4
1603,Male,outside US,Some college/university,36,61,45,3.33,2900,46,4
1604,Female,outside US,Some college/university,44,82,65,3.9,2000,57,3
1617,Female,outside US,High school graduate,18,62,37,2.83,1300,38,5
1619,Female,outside US,High school graduate,30,41,29,1.17,1200,53,5
1621,Male,outside US,High school graduate,18,39,35,2.67,2200,64,4
1622,Male,outside US,College graduate or more,18,71,70,2.75,800,50,4
1623,Female,outside US,Some college/university,51,71,40,2.5,600,50,5
1628,Male,outside US,less.than.hs,8,5,13,1.7,1400,38,4
1629,Male,outside US,High school graduate,13,79,25,1.8,1200,39,3
1630,Female,outside US,Some college/university,44,37,49,2.5,2500,42,5
1640,Male,outside US,less.than.hs,3,47,17,1.6,1200,50,5
1642,Male,outside US,less.than.hs,3,77,25,2.5,550,49,2
1643,Female,outside US,less.than.hs,44,26,8,2.9,900,53,4
1646,Female,outside US,College graduate or more,35,55,87,2.8,1000,31,4
1653,Male,outside US,less.than.hs,35,39,45,2.83,1700,37,4
1655,Female,outside US,Some college/university,51,63,11,2.18,1200,49,5
1665,Female,outside US,less.than.hs,40,75,57,3.25,200,58,2
1674,Female,outside US,College graduate or more,13,84,87,4,1650,50,2
1677,Female,outside US,College graduate or more,44,99,87,4,2000,44,4
1732,Male,outside US,College graduate or more,3,99,91,4,2200,18,4
1736,Female,outside US,College graduate or more,3,94,91,4,2100,50,5
1797,Female,outside US,College graduate or more,51,78,35,2.67,2500,38,4
1801,Male,outside US,less.than.hs,1,12,49,3.2,900,20,3
1803,Female,outside US,Some college/university,3,54,70,2.27,1600,55,3
1807,Female,outside US,Some college/university,48,70,46,4,600,34,3
1808,Male,outside US,Some college/university,8,84,94,3.3,1400,51,4
1809,Female,outside US,College graduate or more,36,82,53,2.8,1800,42,3
1810,Female,outside US,College graduate or more,40,92,99,3.8,1200,42,4
1811,Female,outside US,College graduate or more,3,93,66,4,2500,58,4
1812,Male,outside US,College graduate or more,22,97,84,3.9,1280,38,2
1815,Female,outside US,College graduate or more,36,70,53,3.08,2200,42,4
1817,Female,outside US,Some college/university,22,54,41,3.8,600,42,3
1818,Female,outside US,Some college/university,3,61,35,3.2,600,49,4
1829,Male,outside US,High school graduate,8,41,15,2.3,1000,50,3
1831,Male,outside US,College graduate or more,14,14,15,2.1,1300,58,2
1835,Female,outside US,less.than.hs,35,9,6,3.8,1300,34,4
1839,Female,outside US,Some college/university,44,99,75,3.3,500,50,4
1840,Male,outside US,College graduate or more,35,96,41,2.6,2000,46,2
1848,Male,outside US,Some college/university,14,16,31,2.17,2800,51,5
1849,Male,outside US,Some college/university,3,48,31,3.1,1500,38,4
1853,Male,outside US,less.than.hs,3,50,41,2.4,600,37,3
1854,Female,outside US,Some college/university,30,67,45,1.82,1680,42,4
1855,Male,outside US,High school graduate,35,82,61,2.58,2000,50,4
1856,Male,outside US,College graduate or more,3,82,41,2.08,1000,49,4
1857,Male,outside US,College graduate or more,8,51,18,3,1500,62,4
1861,Female,outside US,College graduate or more,35,65,87,3.6,600,42,3
1862,Female,outside US,Some college/university,35,97,84,3.5,300,55,5
1864,Female,outside US,College graduate or more,3,94,61,4,2000,50,4
1865,Male,outside US,High school graduate,40,66,70,3.3,2500,50,4
1866,Male,outside US,Some college/university,44,82,65,2.7,1000,38,4
1869,Male,outside US,Some college/university,22,9,11,2.3,1100,45,3
